alpha,buildtime,searchtime,nprobe,recall
0.25,1793.9355051517487,1074.2588522434235,3,0.8384833333333334
0.5,2904.5671887397766,611.8351817131042,3,0.8056766666666667
0.75,4013.4765617847443,539.7103593349457,4,0.82955
1.0,4967.839357376099,409.49547958374023,4,0.8138933333333334
1.25,5926.25492310524,297.0868766307831,4,0.8046666666666666
1.5,7021.7861177921295,265.99508142471313,5,0.82271
1.75,7483.826227426529,182.95200514793396,5,0.81427
2.0,8495.270343780518,173.62279725074768,5,0.8075733333333334
2.25,10569.041384220123,164.8637237548828,6,0.8225066666666667
2.5,10780.384081602097,139.34937930107117,6,0.81672
2.75,11544.185386180878,99.03728175163269,6,0.8124666666666667
3.0,15978.850246667862,93.591721534729,6,0.8069566666666667
3.25,14982.319861888885,97.11121940612793,6,0.8056533333333333
3.5,16809.92231631279,97.05493807792664,7,0.8182366666666666
3.75,20254.396574258804,90.19475841522217,7,0.8164533333333334
4.0,19663.26006579399,78.96660089492798,7,0.8090566666666666
4.25,22690.696144104004,83.49142742156982,7,0.80341
4.5,24460.57264494896,65.37574434280396,7,0.8001066666666666
4.75,22916.26484322548,75.33170795440674,8,0.81257
