type,time
fp32_t,16.52291226387024
int8_t,12.569525241851807
fp32_t,17.068702220916748
int8_t,12.41061782836914
fp32_t,16.838446617126465
int8_t,12.414191007614136
fp32_t,16.48519992828369
int8_t,12.396176099777222
fp32_t,16.567838668823242
int8_t,12.403036832809448
fp32_t,16.808965921401978
int8_t,12.467744827270508
fp32_t,16.919621467590332
int8_t,12.379957437515259
fp32_t,17.001458883285522
int8_t,12.386037826538086
fp32_t,16.63170862197876
int8_t,12.463406562805176
fp32_t,16.518398761749268
int8_t,12.537095785140991
fp32_t,16.687997341156006
int8_t,12.467906951904297
fp32_t,16.619210243225098
int8_t,12.37197494506836
fp32_t,16.59386444091797
int8_t,12.517217636108398
fp32_t,16.56875514984131
int8_t,12.394094944000244
fp32_t,16.90764546394348
int8_t,12.42456841468811
fp32_t,16.852052450180054
int8_t,12.54849362373352
fp32_t,16.71595072746277
int8_t,12.481298446655273
fp32_t,16.658085346221924
int8_t,12.334539890289307
fp32_t,16.4980685710907
int8_t,12.322932481765747
fp32_t,16.651008367538452
int8_t,12.401092767715454
fp32_t,16.456995487213135
int8_t,12.259921312332153
fp32_t,16.478341102600098
int8_t,12.335004329681396
fp32_t,16.46887493133545
int8_t,12.282973289489746
fp32_t,16.582411766052246
int8_t,12.206331968307495
fp32_t,17.000922918319702
int8_t,12.435805320739746
fp32_t,16.946969509124756
int8_t,12.37953233718872
fp32_t,16.60253119468689
int8_t,12.478646278381348
fp32_t,16.52336096763611
int8_t,12.43827199935913
fp32_t,16.587404489517212
int8_t,12.389700651168823
fp32_t,16.49366283416748
int8_t,12.379757404327393
fp32_t,16.606970071792603
int8_t,12.201597929000854
fp32_t,16.824892044067383
int8_t,12.301660060882568
fp32_t,16.848734378814697
int8_t,12.524082660675049
fp32_t,16.858598947525024
int8_t,12.424455404281616
fp32_t,16.53643488883972
int8_t,12.41299557685852
fp32_t,16.59996747970581
int8_t,12.419729471206665
fp32_t,16.573484897613525
int8_t,12.38530945777893
fp32_t,16.54837942123413
int8_t,12.39030909538269
fp32_t,16.720160007476807
int8_t,12.398510456085205
fp32_t,16.586461305618286
int8_t,12.358861446380615
fp32_t,16.572269678115845
int8_t,12.317955732345581
fp32_t,16.663493156433105
int8_t,12.336384057998657
fp32_t,16.584760904312134
int8_t,12.380771398544312
fp32_t,16.99247097969055
int8_t,12.417670488357544
fp32_t,16.891417026519775
int8_t,12.513078451156616
fp32_t,16.809043884277344
int8_t,12.463932514190674
fp32_t,16.82527756690979
int8_t,12.439369916915894
fp32_t,16.5289306640625
int8_t,12.34659457206726
fp32_t,16.60050106048584
int8_t,12.28673505783081
fp32_t,16.526064157485962
int8_t,12.340961456298828
fp32_t,16.531912803649902
int8_t,12.277631044387817
fp32_t,16.6181857585907
int8_t,12.398107051849365
fp32_t,16.886428356170654
int8_t,12.519376993179321
fp32_t,16.549812078475952
int8_t,12.294371366500854
fp32_t,16.481227159500122
int8_t,12.326595067977905
fp32_t,16.492777585983276
int8_t,12.439538717269897
fp32_t,16.86198902130127
int8_t,12.394820213317871
fp32_t,16.61615753173828
int8_t,12.448045253753662
fp32_t,16.902991771697998
int8_t,12.457169771194458
fp32_t,16.880895137786865
int8_t,12.484811305999756
fp32_t,16.505654096603394
int8_t,12.463252544403076
fp32_t,16.510829210281372
int8_t,12.404582977294922
fp32_t,16.771286964416504
int8_t,12.423005819320679
fp32_t,16.89363431930542
int8_t,12.482560396194458
fp32_t,16.75346302986145
int8_t,12.397466659545898
fp32_t,16.685243606567383
int8_t,12.436952352523804
fp32_t,16.504485607147217
int8_t,12.401006698608398
fp32_t,16.75474238395691
int8_t,12.520029067993164
fp32_t,16.893239974975586
int8_t,12.466734409332275
fp32_t,16.691689252853394
int8_t,12.437905311584473
fp32_t,16.90929651260376
int8_t,12.386352777481079
fp32_t,16.724853992462158
int8_t,12.418615341186523
fp32_t,16.51347279548645
int8_t,12.413892984390259
fp32_t,16.49545454978943
int8_t,12.284725427627563
fp32_t,16.55714702606201
int8_t,12.351448059082031
fp32_t,16.544482707977295
int8_t,12.434953212738037
fp32_t,16.518869161605835
int8_t,12.385253190994263
fp32_t,16.56181836128235
int8_t,12.364087581634521
fp32_t,16.495959520339966
int8_t,12.379143953323364
fp32_t,16.58803653717041
int8_t,12.319839715957642
fp32_t,16.68792152404785
int8_t,12.366493225097656
fp32_t,16.537435293197632
int8_t,12.353071212768555
fp32_t,16.558342933654785
int8_t,12.337433099746704
fp32_t,16.48782753944397
int8_t,12.339781999588013
fp32_t,16.500274896621704
int8_t,12.358206748962402
fp32_t,17.020514249801636
int8_t,12.346470594406128
fp32_t,16.59766387939453
int8_t,12.510692358016968
fp32_t,16.881077527999878
int8_t,12.475976943969727
fp32_t,16.829803705215454
int8_t,12.44967246055603
fp32_t,16.91128396987915
int8_t,12.406723499298096
fp32_t,16.969691276550293
int8_t,12.571183204650879
fp32_t,16.615300178527832
int8_t,12.509496688842773
fp32_t,16.879467248916626
int8_t,12.390656471252441
fp32_t,16.681039810180664
int8_t,12.413984537124634
fp32_t,16.863181352615356
int8_t,12.615578889846802
fp32_t,16.766852617263794
int8_t,12.396939277648926
fp32_t,16.569150686264038
int8_t,12.38207197189331
fp32_t,16.554898977279663
int8_t,12.397813320159912
fp32_t,16.803412199020386
int8_t,12.658657550811768
fp32_t,16.788310766220093
int8_t,12.4904203414917
fp32_t,16.57231831550598
int8_t,12.50310492515564
fp32_t,16.587879180908203
int8_t,12.324761152267456
fp32_t,2.471888780593872
int8_t,1.9471032619476318
